RoomService,Spa,VRDeck,CryoSleep_1,HomePlanet_0,Transported,kfold
0.0,0.0,0.0,1.0,0.0,1,0
0.0,195.0,493.0,0.0,1.0,1,0
2.0,1.0,904.0,0.0,0.0,1,0
0.0,0.0,0.0,1.0,1.0,0,0
38.0,0.0,0.0,0.0,1.0,0,0
1144.0,22.0,0.0,0.0,0.0,0,0
18.0,279.0,64.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,1600.0,15.0,0.0,1.0,0,0
0.0,167.0,0.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,0.0,0.0,1.0,0,0
230.0,464.0,0.0,0.0,0.0,0,0
0.0,8.0,74.0,0.0,1.0,1,0
0.0,551.0,89.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,9.0,403.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,1.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,36.0,0.0,0.0,1,0
0.0,0.0,0.0,1.0,0.0,0,0
235.0,650.0,0.0,0.0,1.0,0,0
0.0,436.0,342.0,0.0,0.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
40.0,0.0,637.0,0.0,1.0,0,0
0.0,0.0,0.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,0.0,0.0,1.0,1.0,1,0
16.0,2.0,89.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,0.0,0.0,1.0,1,0
0.0,0.0,0.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,1984.0,521.0,0.0,0.0,0,0
319.0,8.0,0.0,0.0,0.0,1,0
676.0,379.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,0.0,0.0,0.0,1,0
954.0,3.0,2.0,0.0,1.0,0,0
0.0,0.0,0.0,0.0,1.0,0,0
387.0,9927.0,1341.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
19.0,6324.0,2056.0,0.0,0.0,0,0
2249.0,0.0,194.0,0.0,0.0,0,0
1420.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,1.0,0,0
0.0,9.0,0.0,0.0,1.0,1,0
0.0,698.0,72.0,0.0,0.0,0,0
886.0,0.0,0.0,0.0,0.0,0,0
469.0,1.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,1125.0,0.0,0.0,1.0,0,0
0.0,4864.0,3902.0,0.0,0.0,0,0
809.0,0.0,0.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,0.0,1318.0,0.0,1.0,0,0
131.0,1.0,0.0,0.0,0.0,1,0
365.0,0.0,288.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,1.0,0,0
0.0,0.0,0.0,1.0,1.0,0,0
938.0,0.0,162.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,0.0,0.0,0.0,1.0,0,0
527.0,290.0,30.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,0.0,0,0
0.0,0.0,0.0,1.0,1.0,0,0
728.0,48.0,1804.0,0.0,0.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
3.0,951.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,1.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,1313.0,1148.0,0.0,0.0,1,0
375.0,36.0,0.0,0.0,0.0,1,0
0.0,0.0,4.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,446.0,0.0,1.0,0,0
1.0,32.0,875.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,1.0,1,0
8.0,0.0,0.0,0.0,1.0,1,0
0.0,0.0,0.0,0.0,0.0,1,0
2.0,0.0,0.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,1.0,0,0
0.0,0.0,0.0,1.0,1.0,0,0
0.0,0.0,0.0,1.0,1.0,0,0
3.0,4.0,855.0,0.0,1.0,1,0
0.0,0.0,0.0,0.0,1.0,1,0
1086.0,401.0,0.0,0.0,0.0,0,0
61.0,445.0,0.0,0.0,1.0,1,0
0.0,0.0,794.0,0.0,1.0,0,0
0.0,1608.0,1.0,0.0,1.0,0,0
0.0,1.0,784.0,0.0,1.0,0,0
435.0,16.0,0.0,0.0,0.0,0,0
781.0,0.0,0.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,0.0,0.0,1.0,1.0,1,0
1231.0,1.0,3.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,0.0,0.0,1.0,1,0
931.0,0.0,421.0,0.0,0.0,0,0
0.0,94.0,364.0,0.0,1.0,0,0
0.0,0.0,0.0,0.0,0.0,1,0
0.0,7627.0,83.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,1.0,1,0
6726.0,1266.0,0.0,0.0,0.0,0,0
0.0,5458.0,10.0,0.0,0.0,0,0
712.0,0.0,517.0,0.0,1.0,0,0
198.0,0.0,4.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,0.0,0.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,314.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,0.0,0.0,1.0,1.0,0,0
0.0,0.0,0.0,0.0,1.0,0,0
0.0,0.0,0.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,484.0,344.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
429.0,0.0,59.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,79.0,421.0,0.0,1.0,0,0
1227.0,0.0,0.0,0.0,0.0,0,0
0.0,339.0,359.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
470.0,0.0,9.0,0.0,1.0,0,0
41.0,1899.0,43.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,0.0,0.0,0.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,857.0,23.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,0.0,0.0,1.0,1,0
0.0,0.0,61.0,0.0,1.0,0,0
174.0,630.0,0.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
76.0,102.0,23.0,0.0,0.0,1,0
1050.0,0.0,3.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
165.0,3044.0,556.0,0.0,0.0,0,0
0.0,1873.0,45.0,0.0,0.0,0,0
519.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,1.0,0,0
0.0,2043.0,72.0,0.0,0.0,1,0
6.0,1273.0,1116.0,0.0,0.0,0,0
58.0,789.0,54.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,553.0,0.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
2738.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,4.0,21.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,737.0,2193.0,0.0,0.0,0,0
0.0,2529.0,92.0,0.0,1.0,0,0
9.0,0.0,2.0,0.0,1.0,1,0
635.0,0.0,25.0,0.0,1.0,0,0
1973.0,41.0,3.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,0.0,0.0,1.0,0,0
1084.0,0.0,5.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
158.0,1.0,0.0,0.0,0.0,1,0
0.0,595.0,0.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,18572.0,10028.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,1.0,0,0
0.0,0.0,21.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,1306.0,0.0,0.0,0.0,0,0
14.0,795.0,0.0,0.0,1.0,1,0
705.0,0.0,0.0,0.0,0.0,0,0
431.0,10.0,0.0,0.0,1.0,0,0
112.0,0.0,0.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
65.0,0.0,0.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
49.0,1.0,0.0,0.0,0.0,1,0
487.0,12.0,0.0,0.0,1.0,0,0
193.0,0.0,0.0,0.0,0.0,1,0
86.0,208.0,329.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
758.0,5.0,0.0,0.0,0.0,0,0
55.0,650.0,10786.0,0.0,0.0,0,0
63.0,2624.0,4538.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,1.0,0,0
227.0,0.0,0.0,0.0,1.0,1,0
42.0,0.0,3.0,0.0,1.0,1,0
182.0,33.0,0.0,0.0,1.0,0,0
546.0,325.0,218.0,0.0,1.0,0,0
640.0,38.0,12.0,0.0,1.0,0,0
4.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,1.0,1,0
1577.0,30.0,0.0,0.0,1.0,0,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,36.0,0.0,1.0,1,0
0.0,0.0,0.0,1.0,0.0,1,0
0.0,0.0,0.0,1.0,1.0,1,0
0.0,3.0,0.0,0.0,1.0,0,0
0.0,144.0,141.0,0.0,1.0,1,0
825.0,0.0,42.0,0.0,1.0,0,0
0.0,62.0,0.0,0.0,1.0,0,0
1025.0,0.0,0.0,0.0,1.0,0,0
401.0,422.0,62.0,0.0,0.0,1,0
0.0,976.0,0.0,0.0,0.0,1,0
0.0,0.0,0.0,1.0,1.0,1,0
