PassengerId,Age,Fare,Family,Pclass_2,Sex_0,Sex_1,Survived
1.0,22.0,7.25,1.0,1.0,0.0,1.0,0
2.0,38.0,71.2833,1.0,0.0,1.0,0.0,1
3.0,26.0,7.925,0.0,1.0,1.0,0.0,1
4.0,35.0,53.1,1.0,0.0,1.0,0.0,1
5.0,35.0,8.05,0.0,1.0,0.0,1.0,0
6.0,29.64209269662921,8.4583,0.0,1.0,0.0,1.0,0
7.0,54.0,51.8625,0.0,0.0,0.0,1.0,0
8.0,2.0,21.075,4.0,1.0,0.0,1.0,0
9.0,27.0,11.1333,2.0,1.0,1.0,0.0,1
10.0,14.0,30.0708,1.0,0.0,1.0,0.0,1
11.0,4.0,16.7,2.0,1.0,1.0,0.0,1
12.0,58.0,26.55,0.0,0.0,1.0,0.0,1
13.0,20.0,8.05,0.0,1.0,0.0,1.0,0
14.0,39.0,31.275,6.0,1.0,0.0,1.0,0
15.0,14.0,7.8542,0.0,1.0,1.0,0.0,0
16.0,55.0,16.0,0.0,0.0,1.0,0.0,1
17.0,2.0,29.125,5.0,1.0,0.0,1.0,0
18.0,29.64209269662921,13.0,0.0,0.0,0.0,1.0,1
19.0,31.0,18.0,1.0,1.0,1.0,0.0,0
20.0,29.64209269662921,7.225,0.0,1.0,1.0,0.0,1
21.0,35.0,26.0,0.0,0.0,0.0,1.0,0
22.0,34.0,13.0,0.0,0.0,0.0,1.0,1
23.0,15.0,8.0292,0.0,1.0,1.0,0.0,1
24.0,28.0,35.5,0.0,0.0,0.0,1.0,1
25.0,8.0,21.075,4.0,1.0,1.0,0.0,0
26.0,38.0,31.3875,6.0,1.0,1.0,0.0,1
27.0,29.64209269662921,7.225,0.0,1.0,0.0,1.0,0
28.0,19.0,263.0,5.0,0.0,0.0,1.0,0
29.0,29.64209269662921,7.8792,0.0,1.0,1.0,0.0,1
30.0,29.64209269662921,7.8958,0.0,1.0,0.0,1.0,0
31.0,40.0,27.7208,0.0,0.0,0.0,1.0,0
32.0,29.64209269662921,146.5208,1.0,0.0,1.0,0.0,1
33.0,29.64209269662921,7.75,0.0,1.0,1.0,0.0,1
34.0,66.0,10.5,0.0,0.0,0.0,1.0,0
35.0,28.0,82.1708,1.0,0.0,0.0,1.0,0
36.0,42.0,52.0,1.0,0.0,0.0,1.0,0
37.0,29.64209269662921,7.2292,0.0,1.0,0.0,1.0,1
38.0,21.0,8.05,0.0,1.0,0.0,1.0,0
39.0,18.0,18.0,2.0,1.0,1.0,0.0,0
40.0,14.0,11.2417,1.0,1.0,1.0,0.0,1
41.0,40.0,9.475,1.0,1.0,1.0,0.0,0
42.0,27.0,21.0,1.0,0.0,1.0,0.0,0
43.0,29.64209269662921,7.8958,0.0,1.0,0.0,1.0,0
44.0,3.0,41.5792,3.0,0.0,1.0,0.0,1
45.0,19.0,7.8792,0.0,1.0,1.0,0.0,1
46.0,29.64209269662921,8.05,0.0,1.0,0.0,1.0,0
47.0,29.64209269662921,15.5,1.0,1.0,0.0,1.0,0
48.0,29.64209269662921,7.75,0.0,1.0,1.0,0.0,1
49.0,29.64209269662921,21.6792,2.0,1.0,0.0,1.0,0
50.0,18.0,17.8,1.0,1.0,1.0,0.0,0
51.0,7.0,39.6875,5.0,1.0,0.0,1.0,0
52.0,21.0,7.8,0.0,1.0,0.0,1.0,0
53.0,49.0,76.7292,1.0,0.0,1.0,0.0,1
54.0,29.0,26.0,1.0,0.0,1.0,0.0,1
55.0,65.0,61.9792,1.0,0.0,0.0,1.0,0
56.0,29.64209269662921,35.5,0.0,0.0,0.0,1.0,1
57.0,21.0,10.5,0.0,0.0,1.0,0.0,1
58.0,28.5,7.2292,0.0,1.0,0.0,1.0,0
59.0,5.0,27.75,3.0,0.0,1.0,0.0,1
60.0,11.0,46.9,7.0,1.0,0.0,1.0,0
61.0,22.0,7.2292,0.0,1.0,0.0,1.0,0
63.0,45.0,83.475,1.0,0.0,0.0,1.0,0
64.0,4.0,27.9,5.0,1.0,0.0,1.0,0
65.0,29.64209269662921,27.7208,0.0,0.0,0.0,1.0,0
66.0,29.64209269662921,15.2458,2.0,1.0,0.0,1.0,1
67.0,29.0,10.5,0.0,0.0,1.0,0.0,1
68.0,19.0,8.1583,0.0,1.0,0.0,1.0,0
69.0,17.0,7.925,6.0,1.0,1.0,0.0,1
70.0,26.0,8.6625,2.0,1.0,0.0,1.0,0
71.0,32.0,10.5,0.0,0.0,0.0,1.0,0
72.0,16.0,46.9,7.0,1.0,1.0,0.0,0
73.0,21.0,73.5,0.0,0.0,0.0,1.0,0
74.0,26.0,14.4542,1.0,1.0,0.0,1.0,0
75.0,32.0,56.4958,0.0,1.0,0.0,1.0,1
76.0,25.0,7.65,0.0,1.0,0.0,1.0,0
77.0,29.64209269662921,7.8958,0.0,1.0,0.0,1.0,0
78.0,29.64209269662921,8.05,0.0,1.0,0.0,1.0,0
79.0,0.83,29.0,2.0,0.0,0.0,1.0,1
80.0,30.0,12.475,0.0,1.0,1.0,0.0,1
81.0,22.0,9.0,0.0,1.0,0.0,1.0,0
82.0,29.0,9.5,0.0,1.0,0.0,1.0,1
83.0,29.64209269662921,7.7875,0.0,1.0,1.0,0.0,1
