PassengerId,Age,Fare,Family,Pclass_2,Sex_0,Sex_1,Survived,kfold
213.0,22.0,7.25,0.0,1.0,0.0,1.0,0,0
592.0,52.0,78.2667,1.0,0.0,1.0,0.0,1,0
384.0,35.0,52.0,1.0,0.0,1.0,0.0,1,0
228.0,20.5,7.25,0.0,1.0,0.0,1.0,0,0
153.0,55.5,8.05,0.0,1.0,0.0,1.0,0,0
597.0,29.64209269662921,33.0,0.0,0.0,1.0,0.0,1,0
297.0,23.5,7.2292,0.0,1.0,0.0,1.0,0,0
74.0,26.0,14.4542,1.0,1.0,0.0,1.0,0,0
768.0,30.5,7.75,0.0,1.0,1.0,0.0,0,0
32.0,29.64209269662921,146.5208,1.0,0.0,1.0,0.0,1,0
754.0,23.0,7.8958,0.0,1.0,0.0,1.0,0,0
84.0,28.0,47.1,0.0,0.0,0.0,1.0,0,0
365.0,29.64209269662921,15.5,1.0,1.0,0.0,1.0,0,0
255.0,41.0,20.2125,2.0,1.0,1.0,0.0,0,0
282.0,28.0,7.8542,0.0,1.0,0.0,1.0,0,0
680.0,36.0,512.3292,1.0,0.0,0.0,1.0,1,0
353.0,15.0,7.2292,2.0,1.0,0.0,1.0,0,0
773.0,57.0,10.5,0.0,0.0,1.0,0.0,0,0
682.0,27.0,76.7292,0.0,0.0,0.0,1.0,1,0
449.0,5.0,19.2583,3.0,1.0,1.0,0.0,1,0
888.0,19.0,30.0,0.0,0.0,1.0,0.0,1,0
137.0,19.0,26.2833,2.0,0.0,1.0,0.0,1,0
752.0,6.0,12.475,1.0,1.0,0.0,1.0,1,0
796.0,39.0,13.0,0.0,0.0,0.0,1.0,0,0
477.0,34.0,21.0,1.0,0.0,0.0,1.0,0,0
360.0,29.64209269662921,7.8792,0.0,1.0,1.0,0.0,1,0
630.0,29.64209269662921,7.7333,0.0,1.0,0.0,1.0,0,0
63.0,45.0,83.475,1.0,0.0,0.0,1.0,0,0
604.0,44.0,8.05,0.0,1.0,0.0,1.0,0,0
521.0,30.0,93.5,0.0,0.0,1.0,0.0,1,0
638.0,31.0,26.25,2.0,0.0,0.0,1.0,0,0
513.0,36.0,26.2875,0.0,0.0,0.0,1.0,1,0
208.0,26.0,18.7875,0.0,1.0,0.0,1.0,1,0
475.0,22.0,9.8375,0.0,1.0,1.0,0.0,0,0
70.0,26.0,8.6625,2.0,1.0,0.0,1.0,0,0
474.0,23.0,13.7917,0.0,0.0,1.0,0.0,1,0
369.0,29.64209269662921,7.75,0.0,1.0,1.0,0.0,1,0
209.0,16.0,7.75,0.0,1.0,1.0,0.0,1,0
804.0,0.42,8.5167,1.0,1.0,0.0,1.0,1,0
199.0,29.64209269662921,7.75,0.0,1.0,1.0,0.0,1,0
363.0,45.0,14.4542,1.0,1.0,1.0,0.0,0,0
139.0,16.0,9.2167,0.0,1.0,0.0,1.0,0,0
58.0,28.5,7.2292,0.0,1.0,0.0,1.0,0,0
742.0,36.0,78.85,1.0,0.0,0.0,1.0,0,0
186.0,29.64209269662921,50.0,0.0,0.0,0.0,1.0,0,0
690.0,15.0,211.3375,1.0,0.0,1.0,0.0,1,0
